      Date ;Completion OO-10 Oil Rate (Cal. Day) bbl/d ;Completion OO-16 Oil Rate (Cal. Day) bbl/d ;Completion OO-9 Oil Rate (Cal. Day) bbl/d ;Completion PN2-10 Oil Rate (Cal. Day) bbl/d ;Completion PN3-1 Oil Rate (Cal. Day) bbl/d ;Completion PN3-10 Oil Rate (Cal. Day) bbl/d ;Completion PN3-11X Oil Rate (Cal. Day) bbl/d ;Completion PN3-12 Oil Rate (Cal. Day) bbl/d ;Completion PN3-15 Oil Rate (Cal. Day) bbl/d ;Completion PN3-18 Oil Rate (Cal. Day) bbl/d ;Completion PN3-19 Oil Rate (Cal. Day) bbl/d ;Completion PN3-20DST Oil Rate (Cal. Day) bbl/d ;Completion PN3-21 Oil Rate (Cal. Day) bbl/d ;Completion PN3-22 Oil Rate (Cal. Day) bbl/d ;Completion PN3-23 Oil Rate (Cal. Day) bbl/d ;Completion PN3-24 Oil Rate (Cal. Day) bbl/d ;Completion PN3-25D Oil Rate (Cal. Day) bbl/d ;Completion PN3-26DBP Oil Rate (Cal. Day) bbl/d ;Completion PN3-3 Oil Rate (Cal. Day) bbl/d ;Completion PN8-15A Oil Rate (Cal. Day) bbl/d ;Completion PN8-16 Oil Rate (Cal. Day) bbl/d ;Completion PN8-17X Oil Rate (Cal. Day) bbl/d ;Completion PN8-18 Oil Rate (Cal. Day) bbl/d ;Completion PN8-19 Oil Rate (Cal. Day) bbl/d ;Completion PN8-20 Oil Rate (Cal. Day) bbl/d ;Completion PN8-22 Oil Rate (Cal. Day) bbl/d ;Completion PN8-23ST Oil Rate (Cal. Day) bbl/d ;Completion PN8-24 Oil Rate (Cal. Day) bbl/d ;Completion PN8-25 Oil Rate (Cal. Day) bbl/d ;Completion PN8-3 Oil Rate (Cal. Day) bbl/d ;Completion PN8-3A Oil Rate (Cal. Day) bbl/d ;Completion PN8-4 Oil Rate (Cal. Day) bbl/d ;Completion PN8-4A Oil Rate (Cal. Day) bbl/d ;Completion PN8-6 Oil Rate (Cal. Day) bbl/d ;Completion PN8-7 Oil Rate (Cal. Day) bbl/d ;Completion PN8-7A Oil Rate (Cal. Day) bbl/d ;Completion PN8-8 Oil Rate (Cal. Day) bbl/d 
1/08/1987;3;;4;0;58;12;22;;;56;;;95;76;11;144;;;;;208;44;126;;;;;;;;461;;;;;;
1/09/1987;5;3;2;0;80;5;8;;;73;;;82;110;19;151;;;;;213;54;166;;;;;;;;689;;;;;;
1/10/1987;20;3;10;1;97;4;14;;;84;;;81;93;36;138;;;8;;183;59;148;;;;;;;;724;;;;;8;
1/11/1987;6;8;1;1;55;6;29;;;52;;;65;56;21;113;;;;;121;40;101;;;;;;;;703;;;;;131;
1/12/1987;4;0;;2;53;0;45;;;45;;;75;53;26;133;;;;;86;0;31;;;;;;;;565;;;;;45;
1/01/1988;1;0;;1;49;6;59;;;50;;;71;57;21;164;;;91;;175;;76;;;;;;;;388;;;;;;
1/02/1988;;;;2;49;4;41;;;44;;;67;41;25;102;;;9;;97;;91;;;;;;;;409;;;;;;
1/03/1988;;;;0;47;3;39;;;41;;;63;45;28;84;;;;;113;;90;;;;;;;;772;;;;;;
1/04/1988;0;;;0;34;1;35;;;42;;;61;35;26;209;;;;;4;;;;;;;;;;736;;;;;;
1/05/1988;;;;1;41;1;45;;;50;;;63;84;22;210;;;7;;4;;;;;;;;;;713;;;;;0;
1/06/1988;3;3;;0;30;;42;;;45;;;61;57;19;201;;;6;;4;;;;;;;;;;726;;;;;;
1/07/1988;2;2;;0;30;2;38;;;48;;;80;69;21;205;;;11;;7;;;;;;;;;;668;;;;;;
1/08/1988;;;;0;42;1;68;;;61;;;38;55;19;125;;;9;;4;;1;;;;;;;;737;;;;;;
1/09/1988;;;;3;29;10;26;;;10;;;36;52;5;87;;;7;;5;;;;;;;;;;816;;;;;;
1/10/1988;;0;;1;14;125;24;;;18;;;44;51;20;78;;;10;;5;78;6;;;;;;;;573;;;;;;
1/11/1988;;1;;2;41;1;30;;;35;;;55;49;19;62;;;7;;;126;;;;;;;;;653;;;;;;
1/12/1988;3;0;;1;60;2;30;;;33;;;37;50;21;73;;;5;;4;94;0;;;;;;;;584;;;100;;;
1/01/1989;7;1;;;26;;37;;;14;;;34;58;24;59;;;2;;3;44;;;;;;;;;561;;;74;;;540
1/02/1989;10;3;;0;26;1;38;;;15;;;34;59;25;61;;;3;;28;38;;;;;;;;;482;;;73;;;498
1/03/1989;;1;;3;48;1;68;;;25;;;63;107;45;109;;;9;;25;37;19;;;;;;;;474;;;72;;;488
1/04/1989;;1;;2;41;9;45;;;56;;;42;40;26;106;;;5;;42;14;;;;;;;;;493;;;43;;18;407
1/05/1989;;4;;4;63;8;46;;;44;;;38;53;17;83;;;4;;66;38;98;;;;;;;;374;;;64;;4;326
1/06/1989;;10;;1;58;1;36;;;48;;;47;49;25;60;;;0;;68;53;156;;;;;;;;389;;;10;;;292
1/07/1989;;2;;1;45;1;33;;;45;;;44;52;34;57;;;;;48;37;139;;;;;;;;354;;;2;;;364
1/08/1989;;2;;7;53;1;38;;;41;;;51;39;41;41;;;2;;72;41;139;;;;;;;;262;;;1;;;289
1/09/1989;;1;;32;38;0;50;;;46;;;107;45;30;103;;;3;;91;34;66;;;;;;;;301;;;2;;;313
1/10/1989;;1;;38;40;;38;;;44;;;70;52;46;67;;;2;;97;33;42;;;;;;;;277;;;3;;;297
1/11/1989;;5;;28;25;20;53;;;75;;;55;42;14;65;;;;;89;60;63;;;;;;;;273;;;15;;;268
1/12/1989;;6;;17;39;4;45;;;56;;;50;38;50;47;;;2;;39;17;58;;;;;;;;267;;;3;;;250
1/01/1990;;0;;;27;1;57;;;54;;;66;38;5;70;;;;;80;17;6;;;;;;;;195;;;28;;;529
1/02/1990;;1;;20;7;;59;;;13;;;68;39;31;32;;;;;7;4;11;;;;;;;;193;;;21;;;532
1/03/1990;;1;;67;5;1;7;;;77;;;33;13;46;30;;;;;109;8;24;;;;;;;;193;;;25;;;536
1/04/1990;;0;;6;2;8;7;;;24;;;17;2;1;43;;;;;116;43;38;;;;;;;;155;;;19;;;555
1/05/1990;;2;;14;17;3;8;;;39;;;46;1;4;56;;;;;83;14;13;;;;;;;;;;;6;;;675
1/06/1990;;;;19;17;1;15;;;46;;;42;1;5;62;;;;;76;14;15;;;;;;;;120;;;3;;;602
1/07/1990;;;;12;11;;7;;;46;;;31;0;4;35;;;;;66;8;8;;;;;;;;100;;;9;;;632
1/08/1990;;;;18;5;0;13;;;45;;;36;0;2;28;;;1;;47;11;17;;;;;;;;126;;;8;;;717
1/09/1990;;;;23;9;;7;;;43;;;29;8;6;30;;;;;49;7;14;;;;;;;;111;;;5;;;690
1/10/1990;;;;17;8;;16;;;23;;;28;3;6;33;;;;;47;2;6;;;;;;;;110;;;5;;;611
1/11/1990;;1;;13;5;;8;;;28;;;23;8;11;28;;;;;68;2;8;;;;;;;;101;;;6;;;689
1/12/1990;;;;21;37;;5;;;23;;;27;9;7;44;;;;;90;1;21;;;;;;;;115;;;7;;;659
1/01/1991;;;;4;2;;7;;;41;;;37;8;10;33;;;;;88;4;3;;;;;;;;164;;;5;;;578
1/02/1991;;;;2;3;;5;;;60;;;70;3;5;38;;;;;80;5;1;;;;;;;;149;;;2;;;558
1/03/1991;;;;2;17;5;5;;;47;;;27;3;5;36;;;;;84;3;7;;;;;;;;122;;;6;;;487
1/04/1991;;;;4;17;16;5;;;16;;;8;4;5;24;;;;;62;25;32;;;;;;;;143;;;16;;;522
1/05/1991;;;;1;17;9;1;;;12;;;7;1;1;20;;;;;71;21;34;;;;;;;;141;;;16;;;557
1/06/1991;;;;1;8;4;3;;;36;;;15;2;3;34;;;;;70;8;1;;;;;;;;132;;;1;;;557
1/07/1991;;;;1;6;2;1;;;24;;;23;1;1;26;;;;;66;5;2;;;;;;;;124;;;1;;;529
1/08/1991;;;;3;6;33;21;;;21;;;17;28;2;18;;;;;54;39;30;;;;;;;;76;;;11;;;475
1/09/1991;;;;3;2;50;18;;;7;;;5;6;2;12;;;;;63;35;29;;;;;;;;101;;;19;;;494
1/10/1991;;;;3;3;23;22;;;10;;;17;4;4;9;;;;;50;33;33;;;;;;;;108;;;10;;;523
1/11/1991;;;;3;4;17;18;;;28;;;17;2;8;10;;;;;62;33;30;;;;;;;;103;;;14;;;501
1/12/1991;;;;3;5;55;28;;;66;;;4;1;6;5;;;;;53;32;26;;;;;;;;93;;;10;;;513
1/01/1992;;;;6;6;20;25;;;49;;;15;13;9;23;;;;;50;27;31;;;;;;;;88;;;12;;;511
1/02/1992;;;;6;52;10;2;;;112;;;30;1;41;7;;;;;48;30;29;;;;;;;;79;;;9;;;519
1/03/1992;;6;;10;3;26;65;;;364;;;20;18;6;7;;;98;;66;40;36;;;;;;;;71;;;10;;;531
1/04/1992;44;1;;5;38;46;45;;;114;;;45;37;77;41;;;110;;46;27;27;;;;;;;;50;;;10;;;459
1/05/1992;184;;;3;33;21;49;;;49;;;49;41;11;47;;;90;;44;29;25;;;;;;;;68;;;10;;;458
1/06/1992;128;4;;2;46;19;42;;;28;;;48;41;24;22;;;57;;42;26;27;;;;;;;;68;;;11;;;451
1/07/1992;95;5;;1;39;10;42;;;8;;;44;43;23;47;;;43;;54;31;23;;;;;;;;71;;;12;;;450
1/08/1992;;7;;2;36;13;41;;;59;;;40;32;21;45;;;52;;41;30;30;;;;;;;;70;;;9;;;462
1/09/1992;96;3;;4;33;10;35;;;92;;;41;27;19;39;;;40;;35;22;23;;;;;;;;66;;;15;;;397
1/10/1992;75;1;;0;35;5;36;;;69;;;36;23;22;48;;;39;;40;36;26;;;;;;;;78;;;9;;;438
1/11/1992;81;;;3;32;13;33;;;73;;;38;24;19;47;;;48;;39;25;27;;;;;;;;99;;;14;;;456
1/12/1992;11;;32;0;32;17;32;;;43;;;29;25;23;43;;;29;;38;26;28;;;;;;;;150;;;6;;;419
1/01/1993;72;;22;9;29;7;38;;;62;;;41;23;17;50;;;35;;38;28;23;;;;;;;;127;;;13;;;451
1/02/1993;45;;40;2;24;9;37;;;53;;;20;17;13;29;;;36;;31;23;23;;;;;;;;108;;;0;;;387
1/03/1993;38;;36;1;18;9;31;;;43;;;23;29;15;32;;;18;;28;21;16;;;;;;;;75;;;27;;;401
1/04/1993;2;1;4;0;23;20;27;;;37;;;28;28;13;34;;;27;;31;21;25;;;;;;;;82;;;47;;;346
1/05/1993;;13;1;8;28;1;12;;;40;;;31;21;12;27;;;22;;24;14;18;;;;;;;;68;;;47;;;327
1/06/1993;;;8;1;20;2;10;;;44;;;16;16;;24;;;19;;20;17;21;;;;;;;;71;;;51;;;324
1/07/1993;;;;0;30;3;11;;;39;;;29;16;5;20;;;19;;31;18;20;;;;;;;;76;;;34;;;376
1/08/1993;;;;5;34;1;13;;;43;;;29;22;5;24;;;37;;31;20;24;;;;;;;;73;;;24;;;413
1/09/1993;;;;;33;2;11;;;41;;;25;25;5;36;;;35;;30;21;24;;;;;;;;69;;;23;;;414
1/10/1993;;;15;5;30;29;52;;;48;;;22;23;5;42;;;8;;30;23;32;;;;;;;;70;;;18;;;396
1/11/1993;25;6;10;2;27;44;51;;;38;;;17;18;3;31;;;;;32;33;33;;;;;;;;65;;;11;;;408
1/12/1993;23;10;14;3;24;37;63;;;41;;;19;17;2;43;;;;;30;30;26;;;;;;;;60;;;16;;;424
1/01/1994;14;4;69;4;22;26;56;;;37;;;16;15;3;28;;;;;27;28;28;;;;;;;;58;;;39;;;431
1/02/1994;58;2;5;3;30;5;55;;;39;;;17;19;3;42;;;;;29;32;27;;;;;;;;59;;;22;;;433
1/03/1994;66;0;4;3;31;8;56;;;47;;;19;22;10;39;;;;;27;30;23;;;;;;;;58;;;23;;;444
1/04/1994;53;10;3;3;27;9;51;;;47;;;24;25;7;41;;;;;26;27;26;;;;;;;;65;;;17;;;457
1/05/1994;57;4;5;2;24;7;48;;;44;;;21;28;3;42;;;;;27;25;25;;;;;;;;61;;;17;;;462
1/06/1994;61;5;3;1;28;4;58;;;53;;;20;16;2;31;;;;;25;28;29;;;;;;;;56;;;21;;;457
1/07/1994;52;;4;3;26;4;49;;;47;;;19;13;3;52;;;;;26;33;37;;;;;;;;57;;;17;;10;453
1/08/1994;51;1;2;1;26;5;51;;;43;;;20;15;2;29;;;;;26;25;28;;;;;;;;59;;;16;;6;430
1/09/1994;40;;9;1;25;23;47;;;46;;;18;12;9;26;;;;;25;25;30;;;;;;;;53;;;11;;0;456
1/10/1994;25;;14;1;22;20;45;;;42;;;17;12;17;24;;;;;24;29;26;;;;;;;;56;;;16;;;453
1/11/1994;42;;7;0;18;22;46;;;42;;;17;14;14;26;;;0;;12;22;22;;;;;;;;58;;;18;;;452
1/12/1994;38;;12;0;15;23;40;;;38;;;19;3;14;19;;;;;25;22;26;;;;;;;;52;;;15;;;417
1/01/1995;49;;11;1;15;20;42;;;41;;;19;1;15;22;;;;;16;21;28;;;;;;;;51;;;113;;;423
1/02/1995;35;0;11;2;19;19;45;;;39;;;19;6;17;25;;;;;19;24;25;;;;;;;;55;;;142;;;434
1/03/1995;35;;9;0;22;18;44;;;39;;;17;6;17;23;;;;;19;22;15;;;;;;;;51;;;138;;;430
1/04/1995;38;;13;2;18;21;41;;;39;;;16;4;15;15;;;;;15;23;23;;;;;;;;50;;;126;;;418
1/05/1995;34;;10;1;18;18;41;;;38;;;15;8;12;10;;;;;15;23;21;;;;;;;;49;;;113;;;418
1/06/1995;42;;8;1;17;20;39;;;39;;;16;17;13;5;;;;;14;23;27;;;;;;;;41;;;98;;;411
1/07/1995;40;;13;0;17;19;34;;;38;;;13;14;13;5;;;;;14;23;24;;;;;;;;41;;;92;;3;414
1/08/1995;27;;9;1;18;18;39;;;36;;;16;6;13;5;;;;;14;23;21;;;;;;;;37;;;82;;3;382
1/09/1995;26;;20;0;17;19;37;;;39;;;18;5;17;3;;;;;15;25;17;;;;;;;;19;;;75;;3;365
1/10/1995;35;;19;1;14;16;32;;;37;;;14;4;16;15;;;;;6;21;21;;;;;;;;34;;;70;;3;353
1/11/1995;23;0;16;1;20;20;37;;;35;;;15;1;16;18;;;;;6;20;21;;;;;;;;32;;;67;;3;322
1/12/1995;23;2;13;2;22;21;36;;;40;;;17;0;16;5;;;;;3;21;25;;;;;;;;40;;;60;;3;273
1/01/1996;27;3;5;5;19;18;43;;;42;;;13;1;13;6;;;;;5;17;20;;;;;;;;29;;;62;;3;299
1/02/1996;26;2;5;1;20;19;40;;;41;;;14;0;13;6;;;;;5;20;16;;;;;;;;26;;;66;;3;304
1/03/1996;28;1;9;2;21;19;42;;;41;;;17;0;10;5;;;;;2;22;22;;;;;;;;26;;;61;;3;306
1/04/1996;7;1;7;2;15;17;42;;;43;;;15;0;10;3;;;;;4;23;24;;;;;;;;24;;;55;;3;301
1/05/1996;;0;6;2;11;18;43;;;42;;;10;;11;3;;;;;1;18;21;;;;;;;;23;;;46;;3;316
1/06/1996;;;;3;11;19;41;;;40;;;13;0;2;2;;;;;0;15;63;;;;;;;;20;;;39;;3;315
1/07/1996;;;;0;11;18;40;;;42;;;11;0;3;1;;;;;0;18;47;;;;;;;;16;;;39;;3;312
1/08/1996;;;;2;9;19;40;;;41;;;13;0;3;1;;;;;0;18;38;;;;;;;;12;;;35;;3;323
1/09/1996;;;;3;10;14;37;;;38;;;16;0;4;1;;;;;;24;43;;;;;;;;13;;;29;;0;310
1/10/1996;;;;3;21;26;34;;;23;;;13;0;7;1;;;;;1;23;39;;;;;;;;9;;;28;;;320
1/11/1996;;;;2;24;16;34;;;23;;;9;1;4;1;;;;;;21;40;;;;;;;;10;;;29;;;317
1/12/1996;;;;4;17;24;42;;;33;;;8;1;5;2;;;;;;21;38;;;;;;;;10;;;32;;;323
1/01/1997;;;;3;17;24;41;;;27;;;8;0;11;2;;;;;;23;35;;;;;;;;9;;;27;;;312
1/02/1997;;;;2;14;18;36;;;37;;;11;0;17;4;;;;;;21;29;;;;;;;;8;;;21;;;318
1/03/1997;;;;0;15;16;37;;;42;;;10;0;13;2;;;;;;17;29;;;;263;;;;6;;;24;;;308
1/04/1997;;;;2;17;18;22;;;42;;;11;79;7;21;;;;671;;17;27;;;13;398;;;;6;;;23;;;284
1/05/1997;;;;5;29;14;46;;;35;;;11;43;0;10;;;;249;;24;29;;;157;311;;202;;4;;;16;;;294
1/06/1997;;;;3;27;17;39;;;38;;;15;31;0;8;;;;180;;24;31;;;90;237;402;40;;4;;;16;;;295
1/07/1997;;;;3;20;15;35;;;38;;;10;28;0;8;;;;123;;20;31;;;110;178;261;113;;;;;18;;;284
1/08/1997;;;;3;21;16;36;;;43;;;14;25;0;0;;;;145;;13;31;;;106;144;262;145;;;;;18;;;275
1/09/1997;;;;2;21;23;36;;;36;;;13;15;0;0;;;;127;;21;28;;;76;131;200;113;;;;;12;;;290
1/10/1997;;;;3;22;23;35;;;35;;;12;14;1;;;;;114;;23;26;;;72;118;192;98;;;;;13;;;299
1/11/1997;;;;3;21;19;36;;;36;;;16;9;1;;;;;99;;23;27;;;62;106;175;90;;;;;8;;;309
1/12/1997;;;;3;19;20;34;;;34;;;15;10;1;;;;0;90;;22;27;;;57;94;151;75;;;;;8;;;319
1/01/1998;51;;;2;19;20;30;;;28;;;10;9;1;;;;;86;;19;22;;;55;89;147;71;;;;;0;;;314
1/02/1998;72;;25;3;16;13;30;;;26;;;13;10;1;;;;;84;;15;22;;;58;84;141;65;;;;;0;;;315
1/03/1998;41;3;21;2;15;13;26;;;27;;;13;9;0;;;;;80;;19;22;;;56;77;142;63;;;;;0;;;330
1/04/1998;23;13;18;2;36;21;47;;;33;;;17;16;;55;;;57;78;;20;23;;;50;74;135;60;;;;;0;;;329
1/05/1998;20;16;18;2;29;25;30;;;43;;;15;13;1;45;;;38;69;;19;24;;;46;69;136;53;;;;;0;;;339
1/06/1998;26;11;26;3;23;28;21;;;36;;;6;22;33;38;;;10;75;;22;26;;;44;64;119;72;;;;;;;;355
1/07/1998;28;5;29;2;38;29;26;;;45;;;;16;16;31;;;10;73;;19;22;;;36;66;119;61;;;;;0;;;357
1/08/1998;28;7;20;2;18;42;26;;;24;;;;11;17;22;;;17;63;;17;26;;;32;60;123;54;;;;;0;;;365
1/09/1998;27;1;25;2;21;14;32;;;29;;;;15;14;9;;;12;60;;19;22;;;28;63;112;51;;;;;;;;394
1/10/1998;17;1;17;1;17;10;32;;;28;;;;15;13;7;;;8;57;;19;24;;;26;55;104;53;;;;;;;;412
1/11/1998;26;7;21;;15;9;31;;;31;;;;11;13;6;;;7;49;;19;22;;;20;51;116;44;;;;;;;;413
1/12/1998;16;2;16;;16;7;32;;;29;;;;7;16;5;;;5;45;;15;22;;;28;58;107;49;;;;;71;;;424
1/01/1999;24;1;21;;17;10;31;;;26;;;;9;11;5;;;5;73;;18;23;;;22;63;108;43;;;;;148;;;424
1/02/1999;22;1;19;;13;9;30;;;30;;;0;11;11;4;;;5;55;;23;21;;;22;64;99;46;;;;;109;;;420
1/03/1999;22;14;22;;12;11;23;;;26;;;;9;11;3;;;4;54;;20;22;;;22;64;102;41;;;;;97;;;436
1/04/1999;22;12;23;;13;10;25;;;29;;;;8;12;5;;;4;51;1;26;31;;;20;64;78;47;;;;;89;;;460
1/05/1999;22;12;21;;15;10;30;;;32;;;;12;14;6;;;4;49;;18;23;;;20;61;100;45;;;;;88;;;470
1/06/1999;19;11;19;;16;13;31;;;34;;;;14;15;5;;;6;45;;161;22;;;21;77;87;175;;;;;76;;;456
1/07/1999;17;11;17;;17;13;33;;;34;;;;10;14;4;;;29;52;;60;23;;;21;75;93;84;;;;;71;;;466
1/08/1999;16;10;16;;14;11;31;;;34;;;;13;10;2;;;78;48;;29;17;;;17;75;93;54;;;;;73;;;495
1/09/1999;15;11;15;;16;12;32;;;32;;;;12;13;0;;;57;46;0;13;23;;;21;68;90;44;;;;;69;;;512
1/10/1999;16;13;16;;17;12;33;;;33;;;50;12;10;0;;;43;47;;13;18;;;18;63;90;38;;;;;66;;;505
1/11/1999;16;14;17;;19;12;41;;;31;;;40;7;13;;;;35;44;;7;17;;;13;60;92;36;;;;;61;;;499
1/12/1999;16;11;13;;15;14;35;;;30;;;31;15;13;0;;;28;44;;39;28;;;32;54;97;137;;;;;63;;;493
1/01/2000;18;7;11;;15;16;33;;;35;;;24;15;13;;;;21;50;;36;19;;;20;53;86;86;;;;;65;;3;511
1/02/2000;19;6;11;0;16;12;31;;;37;;;20;14;12;0;;;19;47;;27;19;;;22;56;85;81;;;;;61;;3;516
1/03/2000;21;12;13;12;13;20;29;;;31;;;19;17;11;;;;18;46;0;22;19;;;21;55;80;73;;;;;64;;4;517
1/04/2000;21;10;14;9;13;22;31;;;31;25;;20;17;11;;;;18;44;0;28;21;;;21;51;76;74;;;;;58;;4;495
1/05/2000;14;6;15;5;15;13;31;;;30;42;;17;16;11;0;;;11;43;0;22;21;;;18;47;81;74;;;;;54;;0;518
1/06/2000;14;7;16;8;17;16;33;;;98;34;;19;17;13;;;;11;46;0;20;22;;;15;46;81;74;;;;;56;;0;542
1/07/2000;17;7;12;5;16;17;31;;;98;30;;21;19;15;;;;13;41;;18;21;;;15;44;79;65;;;;;61;;;523
1/08/2000;10;7;12;11;17;16;33;;;74;24;;24;21;15;;;;9;42;;18;22;;;13;44;75;66;;;;;58;;;523
1/09/2000;7;9;13;5;16;16;34;;;60;22;;13;22;14;;;;9;44;;18;23;;;11;44;74;65;;;;;52;;;521
1/10/2000;5;11;12;7;18;12;32;;;50;21;;19;18;16;;;;8;43;;19;23;;;13;44;72;66;;;;;56;;;539
1/11/2000;5;12;12;9;14;14;31;;;44;20;;22;23;11;;;;8;47;;19;22;;;11;43;70;64;;;;;63;;;542
1/12/2000;6;13;11;9;14;12;30;;;39;18;;18;22;11;;;;10;43;;16;21;;;10;47;68;63;;;;;59;;;548
1/01/2001;7;10;11;5;14;10;30;;;31;19;;26;21;11;;;;11;43;;17;20;;;12;39;67;55;;;;;59;;;550
1/02/2001;11;7;8;3;14;10;31;;;30;20;;27;15;11;;;;9;40;;18;22;;;14;40;53;60;;63;;;51;;;544
1/03/2001;12;8;8;3;15;12;29;;;29;20;;21;15;12;;;;8;40;;18;22;;;14;41;54;62;;97;;;54;;;552
1/04/2001;18;8;8;19;14;11;29;;;30;21;;22;14;12;0;;;8;40;;16;26;;;15;38;58;68;;90;;;65;;;527
1/05/2001;21;9;7;7;12;9;30;;;23;21;;22;17;11;;;;10;41;;18;25;;;10;43;65;59;;81;;;66;;;537
1/06/2001;18;11;8;2;13;10;31;;;27;19;;22;20;11;;;;6;41;;18;23;;;12;41;70;59;;81;;;57;;;544
1/07/2001;21;9;6;2;14;10;30;;;27;21;;11;24;10;;;;5;39;;13;20;;;13;38;67;61;;61;;;56;;;573
1/08/2001;19;11;7;2;13;53;13;;;123;16;;74;25;8;;;;5;41;;14;18;;;18;38;60;66;;69;;;53;;;519
1/09/2001;14;10;8;3;12;52;22;;;91;16;;61;25;8;;;;5;43;;14;19;;;23;34;60;68;;53;;;53;;;523
1/10/2001;15;11;8;5;12;31;29;;;77;18;;46;25;8;;;;4;42;;24;21;;;23;35;60;46;;52;;;55;;;522
1/11/2001;13;14;6;9;12;23;28;;;73;18;;39;18;9;;;;4;47;3;18;22;;;21;34;61;56;;43;;;57;;;540
1/12/2001;7;12;7;5;13;22;31;;;68;20;;21;10;11;;;;5;41;;17;22;;;13;29;62;60;;40;;;56;;;551
1/01/2002;6;9;6;6;13;18;31;;;58;22;;18;9;9;;;;5;39;;17;21;;;12;35;60;61;;39;;;61;;;553
1/02/2002;11;6;9;6;13;13;33;;;60;23;;17;9;8;;;;4;37;;14;22;;;12;34;59;57;;50;;;59;;;556
1/03/2002;14;6;6;7;12;14;32;;;61;22;;16;5;7;;;;3;39;;17;23;;;11;33;60;52;;46;;;54;;;575
1/04/2002;0;8;;7;11;25;31;;;52;22;;20;6;8;;;;6;37;0;16;23;;;11;33;60;48;;42;;;67;;;561
1/05/2002;1;11;1;8;12;33;29;;;50;25;;29;8;9;;;;10;33;;16;22;;;11;34;60;50;;36;;;58;;;568
1/06/2002;19;10;2;7;11;27;24;;;45;24;;27;8;9;0;;;6;37;;17;21;;;10;28;60;55;;32;;;48;;;569
1/07/2002;11;10;7;6;12;22;26;;;45;22;;27;9;9;18;;;7;38;;16;21;;;6;26;58;63;;31;;;49;;;570
1/08/2002;9;8;8;6;13;21;27;;;42;17;;23;10;9;11;;;7;37;;17;21;;;5;19;57;50;;28;;;57;;;577
1/09/2002;13;6;8;6;12;20;25;;;41;29;;22;9;9;8;;;5;36;;18;20;;;3;22;58;41;;24;;;42;;;587
1/10/2002;11;8;9;6;11;18;19;;;38;42;;20;12;10;7;;;4;36;;16;20;;;3;30;57;43;;18;;;44;;;585
1/11/2002;17;11;9;6;12;18;22;;;44;25;;23;17;10;10;;;8;37;;17;20;;;11;30;57;43;;16;;;46;;;594
1/12/2002;16;10;11;5;13;19;21;;;42;24;;27;16;10;8;;;14;37;;16;21;;;16;32;56;49;;15;;;45;;;586
1/01/2003;17;12;9;6;11;17;26;;;43;28;;20;17;12;6;;;9;38;;16;17;;;18;29;55;56;;18;;;55;;;571
1/02/2003;15;9;10;7;11;17;28;;;44;27;;19;8;11;6;;;7;34;0;18;16;;;14;27;53;50;;16;;;55;;;550
1/03/2003;11;11;9;5;10;18;26;;;32;27;;18;7;11;1;;;5;36;;18;19;;;7;30;51;42;;17;;;51;;;551
1/04/2003;12;8;9;6;7;16;27;;;35;24;;16;7;11;;;;4;33;;17;20;;;7;33;50;39;;11;;;47;;;542
1/05/2003;14;8;11;6;2;16;29;;;39;25;;15;7;11;1;;;4;37;;16;16;;;5;30;51;46;;8;;;47;;;534
1/06/2003;13;7;10;5;1;16;29;;;42;26;;14;9;8;2;;;4;37;;17;16;;;8;28;57;42;;9;;;45;;;534
1/07/2003;13;7;12;5;3;17;33;;;38;25;;16;7;10;;;;7;37;;19;17;;;11;29;53;49;;12;;;21;;;517
1/08/2003;14;8;12;5;4;18;34;;;30;29;;15;9;11;;;;5;40;0;20;20;;;10;29;53;52;;13;;;13;;;510
1/09/2003;15;8;13;6;3;20;32;;;36;31;;18;9;12;;;;4;40;;17;20;;;10;26;56;49;;9;;;15;;;513
1/10/2003;14;8;12;6;1;18;30;;;32;29;;22;10;11;;;;7;38;;15;19;;;9;29;56;44;;2;;;18;;;497
1/11/2003;13;8;11;4;2;16;30;;;34;27;;15;10;13;;;;9;37;;16;18;;;10;28;127;47;;;;;56;;;485
1/12/2003;14;7;11;4;;16;27;;;37;28;;14;7;10;;;;7;37;;18;18;;;10;25;164;40;;0;;;60;;;478
1/01/2004;12;8;9;4;33;15;27;;;29;23;;52;4;10;;;;5;29;;19;21;;;10;23;156;39;;0;;;78;;;464
1/02/2004;9;10;8;4;27;20;26;;;26;21;;53;2;10;;;;5;29;;19;24;;;6;23;147;41;;;;;80;;;456
1/03/2004;14;7;9;6;24;19;25;;;29;24;;50;;9;;;;6;32;;19;24;;;2;22;135;38;;;;;78;;0;441
1/04/2004;1;10;10;5;18;19;23;;;28;25;;42;;9;;;;6;29;;19;22;;;2;24;133;39;;6;;;90;;;436
1/05/2004;4;7;8;5;17;15;24;;;30;23;;40;;12;;;;5;28;;15;22;;;;23;130;49;;9;;;92;;;439
1/06/2004;1;6;12;4;16;12;25;;;29;24;;37;;13;;;;6;28;;16;22;;;;24;126;46;;9;;;83;;;432
1/07/2004;7;11;11;5;15;13;28;;;29;24;;37;0;13;12;;;6;29;;16;22;;;1;21;124;42;;12;;;82;;;430
1/08/2004;0;11;8;4;15;14;26;;;27;23;;35;0;13;11;;;6;30;;16;22;;;14;20;122;42;;20;;;85;;;427
